00000000	-0.02862898	-0.05060006	0.13693085	-1.37915635	-3.46885991	-9.41924286	0.55753124	-0.54506838	-0.10472461
00000001	0.08843914	0.02008467	0.02130529	-1.56607938	-3.45208478	-9.34375477	0.54862499	-0.52898437	-0.11674219
00000002	-0.13881727	0.01542414	0.21194322	-1.51575398	-3.53835702	-9.41325188	0.56109375	-0.54149413	-0.11159180
00000003	0.12816462	0.06591323	-0.02907284	-1.67871249	-3.41254330	-9.38569260	0.56287503	-0.55757815	-0.09614062
00000004	0.04727111	0.17499186	0.07667685	-1.68829834	-4.33996916	-9.68884277	0.56821877	-0.53791994	-0.11159180
00000005	0.83634353	0.17022038	-0.10042336	-0.16056208	-6.57106304	-11.43705273	0.55753124	-0.53077149	-0.10472461
00000006	2.42092419	1.21983874	-1.71640730	-0.89147902	-4.08834219	-8.54214287	0.59671873	-0.56651366	-0.14936133
00000007	2.86101174	1.71119189	-1.63795495	-0.64823943	-7.70338535	-9.86977482	0.61809373	-0.56293947	-0.19399805
00000008	2.84436679	1.78964412	-2.35534406	0.29356501	-5.68797159	-6.58304548	0.68578124	-0.56293947	-0.27983791
00000009	3.06330085	2.54986572	-3.69724417	3.19686294	-7.44097424	-9.36052990	0.72318751	-0.52541018	-0.33992580
00000010	3.30287433	3.51326418	-3.52447152	2.65886021	-7.11625528	-5.18471718	0.80156249	-0.45392579	-0.46010157
00000011	3.17004919	3.55077028	-3.26903009	6.24634409	-6.20560455	-3.87505794	0.79621875	-0.36993164	-0.54765821
00000012	2.63541961	3.83506274	-2.55519199	8.78298569	-3.69172955	0.37744072	0.76593751	-0.25019532	-0.64551562
00000013	2.59203243	2.17879868	-2.36000443	6.09177351	-4.35914087	2.03578329	0.68578124	-0.19122070	-0.71590430
00000014	1.96263862	2.65605927	-1.37363625	8.62841415	-2.81223297	1.90158224	0.63412499	-0.08220703	-0.76912498
00000015	1.79430473	1.77188981	-1.51289737	9.95365047	-1.09038424	4.40347481	0.57712501	-0.03574219	-0.75539064
00000016	2.42802596	2.02766418	-2.20298886	6.13011646	-1.67272139	4.67547178	0.54328126	0.01250977	-0.74680662
00000017	2.87499332	1.15869701	-2.69556284	7.87233496	1.25454104	5.28896284	0.42928126	0.09829102	-0.74680662
